handle,followerCount
"ozgurtoprak8303.bsky.social",30807
"dacad.bsky.social",30763
"mrpassportking.bsky.social",30757
"nationalsecuritylaw.org",30640
"chickadee46.bsky.social",30553
"xpodtech.com",30533
"deborahlawrenchale.bsky.social",30521
"eastman9125.bsky.social",30504
"kathyresist.bsky.social",30499
"aqueladramatica.bsky.social",30484
"trumpwatch.bsky.social",30454
"thespaceshipper.com",30439
"tjjohnson.bsky.social",30425
"snarky-op.bsky.social",30371
"larswienand.bsky.social",30359
"myspacetom2003.bsky.social",30311
"kathy328.bsky.social",30278
"lesliepear.bsky.social",30277
"mariabustillos.com",30154
"lisdoon.bsky.social",30136
"christianstoecker.de",30119
"targalus.bsky.social",30081
"chuckles-s.bsky.social",30071
"hookman03.bsky.social",30036
"politicsintheuk.bsky.social",30031
"divyaswor.bsky.social",30027
"gregloucks.bsky.social",29992
"laminda.bsky.social",29969
"madz123.bsky.social",29847
"printplayprotect.bsky.social",29809
"andiinnh.bsky.social",29807
"bluetexan68.bsky.social",29804
"gravikupo.bsky.social",29774
"missingthept.bsky.social",29754
"wytnyt.bsky.social",29733
"lnky.bsky.social",29700
"hope-post.bsky.social",29697
"dwbowers.bsky.social",29696
"grubb.wtf",29692
"arelativist.bsky.social",29683
"elizabethp12.bsky.social",29683
"robedwards1.bsky.social",29656
"lovekat41.bsky.social",29646
"simple-truth.bsky.social",29607
"anitammartinez.bsky.social",29577
"resston.bsky.social",29484
"arumar108.bsky.social",29480
"kinuta3103.bsky.social",29466
"jen73.bsky.social",29415
"craigbrittain.com",29385
"viana-do-castelo.bsky.social",29371
"eliasisquith.blog",29328
"flaneurdujour-aley.bsky.social",29244
"willgarcia820.bsky.social",29235
"shawnmcnulty.bsky.social",29219
"hopeyy84.bsky.social",29118
"moritzbg.bsky.social",29115
"pinkfloydlarson.bsky.social",29046
"nreveillee.bsky.social",29022
"nicolediekmann.bsky.social",29012
"jhughesviews.bsky.social",29000
"sagebrushscw.bsky.social",28978
"gamemakerstoolkit.com",28974
"davidmoscrop.com",28953
"jacob.gold",28931
"justalxs.bsky.social",28918
"martin.kleppmann.com",28905
"haller55.bsky.social",28904
"giantbomb.bsky.social",28899
"marcianobrito.bsky.social",28779
"akshatrathi.bsky.social",28775
"asiaimages.bsky.social",28774
"dmitri.silverado.org",28748
"aphclarkson.bsky.social",28720
"m-pathy.bsky.social",28713
"avezina.bsky.social",28704
"dmeinstad.bsky.social",28702
"handwharmer.bsky.social",28695
"kellyhereid.bsky.social",28695
"llewelynpritch.bsky.social",28692
"intrepidintellect.bsky.social",28647
"scot1200.bsky.social",28606
"tonyspolitics.bsky.social",28570
"bearlypolitics.co.uk",28548
"sisuthefin.bsky.social",28535
"murph1027.bsky.social",28482
"hagma.bsky.social",28478
"carapanarana.bsky.social",28472
"aleianjack.bsky.social",28469
"agawande.bsky.social",28461
"ullumma.bsky.social",28425
"roby2308.bsky.social",28375
"rocketgurl.bsky.social",28372
"joshsternberg.com",28353
"jbird1848.bsky.social",28336
"authorameliamartin.bsky.social",28320
"askbillmitchell.bsky.social",28243
"vlf79.bsky.social",28235
"teresabuecker.bsky.social",28227
"gibbywantsjustice.bsky.social",28226
"jonnie5000.bsky.social",28197
"phoenix-phemale.bsky.social",28164
"aaronsojourner.org",28129
"maxtegman.bsky.social",28102
"edhawkins.org",28077
"edengk.bsky.social",28037
"ponchartrain.bsky.social",28012
"lmhl22.bsky.social",27990
"kharypenebaker.com",27923
"damionmatthews.bsky.social",27897
"birkedi.bsky.social",27879
"poorlydrawnarsenal.com",27813
"angelfuwari.bsky.social",27801
"imagesbyjonevan.bsky.social",27794
"mamabigred.bsky.social",27766
"lackingsaint.bsky.social",27643
"coffeekeepsmealive.bsky.social",27642
"jessicaperthwa.bsky.social",27641
"kayurler.bsky.social",27617
"engrossedai.bsky.social",27603
"creativeelegance.bsky.social",27597
"olivia10.bsky.social",27469
"garyhuskeyforgov.bsky.social",27464
"donaldsdiaper.bsky.social",27451
"professorkiosk.wtf",27288
"spudofficial.bsky.social",27284
"anatosaurus.bsky.social",27263
"econocabreado.bsky.social",27249
"wooftom57.bsky.social",27242
"jenieset.bsky.social",27228
"wileynickel.bsky.social",27222
"kravenspice.bsky.social",27222
